axis,relative_path,requested_label,realizations,realization_paths,cycles,profiles_window,gates_in_support,pitch_mm,mean_mm_s,robust_spread_mm_s,rms_mm_s,zero_fraction,gradient_median_abs_mm_s_per_mm,gradient_max_abs_mm_s_per_mm,correlation_length_mm,correlation_length_over_pitch,acf_e_folding_lag_s,psd_hf_share,psd_centroid_hz,psd_bandwidth_hz
burst_len,burst_len/2.BDD,2,1,burst_len/2.BDD,2,494,50,1.85,24.5658723842,21.5025244204,38.1104614275,0.0118218623482,1.42306145188,7.73855546935,11.1,6,0.0895569283413,0.11805065421,3.98302576785,4.51587526572
burst_len,burst_len/4.BDD,4,1,burst_len/4.BDD,4,494,50,1.85,24.0754656431,34.3781999661,39.3620419586,0.00769230769231,1.09233142927,7.86241452164,12.95,7,0.0895569283413,0.138708154494,4.43447808691,4.72487362942
burst_len,burst_len/6.BDD,6,1,burst_len/6.BDD,6,494,50,1.85,21.0753503608,30.5492587765,37.2820126425,0.00728744939271,1.30447299756,4.9596326897,14.8,8,0.0895569283413,0.111896193356,3.83363765928,4.43796802262
burst_len,burst_len/8.BDD,8,1,burst_len/8.BDD,8,494,50,1.85,21.1923576358,30.8222757513,38.1238643254,0.00967611336032,1.48630862752,5.54993966233,14.8,8,0.0895569283413,0.119471057806,4.17957642843,4.42076290251
burst_len,prf/600.BDD,600,2,prf/600.BDD;res/1-8.BDD,10,494,50,1.85,18.1665738825,30.1135285599,35.7314954373,0.00917004048583,1.14108446049,5.74495178722,13.875,7.5,0.100751544384,0.0984989774998,3.68180333076,4.19969229685
burst_len,burst_len/12.BDD,12,1,burst_len/12.BDD,12,494,50,1.85,24.3764668579,29.8557469074,40.2530341737,0.00906882591093,1.46917918412,5.81215191134,12.95,7,0.0895569283413,0.0963851189736,3.64163115595,4.16810913432
burst_len,burst_len/14.BDD,14,1,burst_len/14.BDD,14,494,50,1.85,26.9329783091,28.569276296,39.340233204,0.00728744939271,1.26626116227,6.17318787228,11.1,6,0.0895569283413,0.102150032193,3.88834043761,4.23255601522
burst_len,burst_len/16.BDD,16,1,burst_len/16.BDD,16,494,50,1.85,26.0993014752,29.2213480886,39.3250652784,0.00821862348178,0.994825366824,6.23116444995,11.1,6,0.0895569283413,0.0890040814677,3.52864083135,4.04399366436
burst_len,burst_len/18.BDD,18,1,burst_len/18.BDD,18,494,50,1.85,21.6598016991,27.064026457,36.9736387462,0.00919028340081,1.29129650263,6.37083529615,11.1,6,0.0895569283413,0.104407695226,3.97936077538,4.2641570801
burst_len,burst_len/20.BDD,20,1,burst_len/20.BDD,20,494,50,1.85,27.0846489892,29.1250608519,40.1498768917,0.00838056680162,0.969790026467,5.8529990456,12.95,7,0.0895569283413,0.101881121496,3.7885892031,4.25966821909
burst_len,burst_len/24.BDD,24,1,burst_len/24.BDD,24,494,50,1.85,20.3788158038,24.5343535495,35.3073046061,0.0102429149798,1.17929629577,6.62909459668,11.1,6,0.0895569283413,0.0948658592317,3.61831160818,4.16310103547
burst_len,burst_len/28.BDD,28,1,burst_len/28.BDD,28,494,50,1.85,19.3712856605,25.5398848184,34.1837894559,0.0211740890688,1.39934376102,16.1398886334,11.1,6,0.0895569283413,0.0885095996317,3.50441192998,4.06536697951
burst_len,burst_len/32.BDD,32,1,burst_len/32.BDD,32,494,50,1.85,23.670815484,29.591261713,37.1195318554,0.0132793522267,1.12395501709,8.95342830141,12.95,7,0.111946160427,0.0974449112731,3.60715040869,4.2133636805
