axis,short_path,short_label,short_cycles,long_path,long_label,long_cycles,cycle_gap,knots,knot_spacing_mm,max_knot_offset_mm,mean_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_envelope,max_abs_difference_over_envelope,depth_ranges_above_envelope_mm,correlation_length_change_mm,gradient_median_change_mm_s_per_mm,robust_spread_change_mm_s,zero_fraction_change,hf_share_change,acf_e_folding_lag_change_s
burst_len,burst_len/2.BDD,2,2,burst_len/4.BDD,4,4,2,50,1.85,0,4.26203874244,9.57753298353,37.9126666667,0,0.494449814969,,1.85,-0.330730022613,12.8756755457,-0.00412955465587,0.0181792818088,0
burst_len,burst_len/2.BDD,2,2,burst_len/6.BDD,6,6,4,50,1.85,0,6.76555564872,19.9302391635,80.4626666667,1,1.02891872924,80.4627..80.4627,3.7,-0.118588454323,9.0467343561,-0.00453441295547,-0.00939963863912,0
burst_len,burst_len/2.BDD,2,2,burst_len/8.BDD,8,8,6,50,1.85,0,5.78210950291,18.1873182973,80.4626666667,0,0.938938678923,,3.7,0.0632471756392,9.31975133094,-0.00214574898785,0.0020951044076,0
burst_len,burst_len/2.BDD,2,2,burst_len/12.BDD,12,12,10,50,1.85,0,4.02519651677,12.3662063694,80.4626666667,0,0.63841789548,,1.85,0.0461177322368,8.35322248697,-0.00275303643725,-0.0207202223976,0
burst_len,burst_len/2.BDD,2,2,burst_len/14.BDD,14,14,12,50,1.85,0,4.08233506936,10.991370889,86.0126666667,0,0.567440625018,,0,-0.156800289605,7.0667518756,-0.00453441295547,-0.0136049564196,0
burst_len,burst_len/2.BDD,2,2,burst_len/16.BDD,16,16,14,50,1.85,0,3.89639100828,11.3180161981,76.7626666667,0,0.584304019064,,0,-0.428236085057,7.7188236682,-0.0036032388664,-0.0258475414762,0
burst_len,burst_len/2.BDD,2,2,burst_len/18.BDD,18,18,16,50,1.85,0,3.65082199002,13.845860867,76.7626666667,0,0.714806553583,,0,-0.131764949248,5.56150203663,-0.00263157894737,-0.0120481992592,0
burst_len,burst_len/2.BDD,2,2,burst_len/20.BDD,20,20,18,50,1.85,0,4.86496747956,13.0219346393,37.9126666667,0,0.672270529796,,1.85,-0.453271425414,7.62253643153,-0.00344129554656,-0.0148148124073,0
burst_len,burst_len/2.BDD,2,2,burst_len/24.BDD,24,24,22,50,1.85,0,6.01627031187,16.3127642468,73.0626666667,0,0.842162932496,,0,-0.243765156109,3.03182912911,-0.00157894736842,-0.0231499479275,0
burst_len,burst_len/2.BDD,2,2,burst_len/28.BDD,28,28,26,50,1.85,0,8.01241442221,37.466704494,10.1626666667,1,1.9342564663,10.1627..10.1627,0,-0.0237176908647,4.03736039806,0.00935222672065,-0.0265954697165,0
burst_len,burst_len/2.BDD,2,2,burst_len/32.BDD,32,32,30,50,1.85,0,7.28989449951,25.997553899,76.7626666667,2,1.34214998133,10.1627..10.1627; 76.7627..76.7627,1.85,-0.299106434793,8.08873729259,0.00145748987854,-0.0222707747257,0.0223892238794
burst_len,burst_len/4.BDD,4,4,burst_len/6.BDD,6,6,2,50,1.85,0,6.30420571426,15.1719433162,13.8626666667,0,0.78326689956,,1.85,0.21214156829,-3.82894118958,-0.000404858299595,-0.0275789204479,0
burst_len,burst_len/4.BDD,4,4,burst_len/8.BDD,8,8,4,50,1.85,0,5.28624242235,13.5825944984,47.1626666667,0,0.701215161367,,1.85,0.393977198252,-3.55592421474,0.00198380566802,-0.0160841774012,0
burst_len,burst_len/4.BDD,4,4,burst_len/12.BDD,12,12,8,50,1.85,0,3.15978145955,8.47571447791,87.8626666667,0,0.437567321621,,0,0.37684775485,-4.52245305871,0.00137651821862,-0.0388995042063,0
burst_len,burst_len/4.BDD,4,4,burst_len/14.BDD,14,14,10,50,1.85,0,4.27661589878,17.0952503979,87.8626666667,0,0.882559570471,,-1.85,0.173929733008,-5.80892367008,-0.000404858299595,-0.0317842382284,0
burst_len,burst_len/4.BDD,4,4,burst_len/16.BDD,16,16,12,50,1.85,0,4.29202185664,15.7179772659,87.8626666667,0,0.811456453785,,-1.85,-0.0975060624437,-5.15685187749,0.000526315789474,-0.044026823285,0
burst_len,burst_len/4.BDD,4,4,burst_len/18.BDD,18,18,14,50,1.85,0,4.55835966621,12.3345168991,76.7626666667,0,0.636781894565,,-1.85,0.198965073365,-7.31417350905,0.0014979757085,-0.030227481068,0
burst_len,burst_len/4.BDD,4,4,burst_len/20.BDD,20,20,16,50,1.85,0,5.46555607119,17.3292649478,87.8626666667,0,0.894640807996,,0,-0.122541402801,-5.25313911415,0.000688259109312,-0.0329940942161,0
burst_len,burst_len/4.BDD,4,4,burst_len/24.BDD,24,24,20,50,1.85,0,7.24187276375,18.2970126176,10.1626666667,0,0.944601759013,,-1.85,0.0869648665038,-9.84384641658,0.00255060728745,-0.0413292297363,0
burst_len,burst_len/4.BDD,4,4,burst_len/28.BDD,28,28,24,50,1.85,0,8.97289789031,44.031300148,10.1626666667,2,2.27316034813,10.1627..12.0127,-1.85,0.307012331748,-8.83831514763,0.0134817813765,-0.0447747515253,0
burst_len,burst_len/4.BDD,4,4,burst_len/32.BDD,32,32,28,50,1.85,0,7.19438731134,28.130499015,10.1626666667,4,1.45226542753,10.1627..10.1627; 76.7627..76.7627; 87.8627..89.7127,0,0.0316235878196,-4.78693825309,0.00558704453441,-0.0404500565345,0.0223892238794
burst_len,burst_len/6.BDD,6,6,burst_len/8.BDD,8,8,2,50,1.85,0,7.15548239243,19.411019381,47.1626666667,1,1.00211348348,47.1627..47.1627,0,0.181835629962,0.273016974842,0.00238866396761,0.0114947430467,0
burst_len,burst_len/6.BDD,6,6,burst_len/12.BDD,12,12,6,50,1.85,0,6.08042930095,15.1914445287,15.7126666667,0,0.784273669353,,-1.85,0.16470618656,-0.693511869131,0.00178137651822,-0.0113205837584,0
