axis,faster_path,faster_label,faster_prf_hz,slower_path,slower_label,slower_prf_hz,prf_gap_hz,knots,knot_spacing_mm,max_knot_offset_mm,mean_abs_difference_mm_s,max_abs_difference_mm_s,max_abs_difference_depth_mm,knots_above_screening_threshold,max_abs_difference_over_screening_threshold,depth_ranges_above_screening_threshold_mm,load_max_change,warning_fraction_at_limit_change,wrap_like_events_change,zero_fraction_change,psd_band_max_abs_level_difference_db,psd_band_difference_frequency_hz,psd_band_median_level_difference_db
prf,prf/400.BDD,400,2500,prf/500.BDD,500,2000,500,50,1.85,0,10.8628368452,37.5147617349,13.8626666667,7,1.9367374699,10.1627..10.1627; 13.8627..15.7127; 34.2127..39.7627,0.3359375,4.6403712297e-05,2,-0.015147053105,-2.10433630734,2.1875,-1.42459204963
prf,prf/400.BDD,400,2500,prf/600.BDD,600,1666.66666667,833.333333333,50,1.85,0,8.00336574159,35.430516517,13.8626666667,2,1.82913620514,13.8627..15.7127,0.1953125,0,0,-0.014517380509,-2.9123917353,4.6875,-2.14288816985
prf,prf/400.BDD,400,2500,prf/700.BDD,700,1428.57142857,1071.42857143,50,1.85,0,8.27468163567,29.8748618201,13.8626666667,1,1.5423199194,13.8627..13.8627,0.1484375,0,0,-0.0153615013288,-3.12077187048,4.0625,-2.11868245955
prf,prf/400.BDD,400,2500,prf/800.BDD,800,1250,1250,50,1.85,0,9.03648177521,27.0139928643,10.1626666667,2,1.39462466966,10.1627..10.1627; 13.8627..13.8627,0.484375,7.40740740741e-05,3,-0.0175729360646,-3.40365744583,15.9375,-2.20554229775
prf,prf/500.BDD,500,2000,prf/600.BDD,600,1666.66666667,333.333333333,50,1.85,0,9.61510570041,22.7196644257,82.3126666667,3,1.17292562613,37.9127..37.9127; 80.4627..82.3127,-0.140625,-4.6403712297e-05,-2,0.00062967259603,-2.2439543292,0.9375,-0.614808976684
prf,prf/500.BDD,500,2000,prf/700.BDD,700,1428.57142857,571.428571429,50,1.85,0,3.63830249989,9.94006578477,12.0126666667,0,0.513165937044,,-0.1875,-4.6403712297e-05,-2,-0.000214448223819,-1.79873057999,4.0625,-0.454461081622
prf,prf/500.BDD,500,2000,prf/800.BDD,800,1250,750,50,1.85,0,9.81763572747,20.8932946211,82.3126666667,5,1.07863744006,17.5627..23.1127; 82.3127..82.3127,0.1484375,2.76703617771e-05,1,-0.00242588295953,-2.12932450946,15.9375,-0.533036530584
prf,prf/600.BDD,600,1666.66666667,prf/700.BDD,700,1428.57142857,238.095238095,50,1.85,0,9.11961068544,21.1289709228,82.3126666667,2,1.09080446721,80.4627..82.3127,-0.046875,0,0,-0.000844120819849,2.8566851784,0.9375,0.0547799712111
prf,prf/600.BDD,600,1666.66666667,prf/800.BDD,800,1250,416.666666667,50,1.85,0,11.8799669291,22.4215326014,69.3626666667,8,1.15753426954,19.4127..21.2627; 54.5627..56.4127; 65.6627..71.2127,0.2890625,7.40740740741e-05,3,-0.00305555555556,2.19420631837,0.9375,-0.0585452577115
prf,prf/700.BDD,700,1428.57142857,prf/800.BDD,800,1250,178.571428571,50,1.85,0,9.72666474644,19.3026011182,82.3126666667,0,0.996516281146,,0.3359375,7.40740740741e-05,3,-0.00221143473571,-1.23096512227,15.9375,-0.29598526896
