gate_index,depth_mm,prf_600_mean_mm_s,prf_600_median_mm_s,prf_600_iqr_mm_s,prf_600_rms_mm_s,prf_600_zero_fraction,res_1_8_mean_mm_s,res_1_8_median_mm_s,res_1_8_iqr_mm_s,res_1_8_rms_mm_s,res_1_8_zero_fraction,diff_mean_mm_s,diff_median_mm_s,diff_iqr_mm_s,diff_rms_mm_s,diff_zero_fraction
0,10.1626666667,29.2141227,27.6965970371,26.4923971659,35.8179823133,0.00582524271845,35.3520346648,34.9217962642,27.0944971015,40.3747517374,0.00970873786408,-6.13791196475,-7.22519922707,-0.60209993559,-4.55676942413,-0.00388349514563
1,12.0126666667,35.7121255,33.717596393,30.1049967795,41.5210402289,0,41.9412292997,40.9427956201,28.9007969083,46.3833188302,0.00388349514563,-6.22910379965,-7.22519922707,1.20419987118,-4.86227860128,-0.00388349514563
2,13.8626666667,40.426041889,38.5343958777,29.5028968439,45.4467691184,0.00194174757282,44.758823173,43.3511953624,28.9007969083,49.6418685409,0,-4.33278128407,-4.81679948472,0.60209993559,-4.19509942257,0.00194174757282
3,15.7126666667,43.4797992322,40.9427956201,27.6965970371,48.1126926648,0.00194174757282,45.8998902354,43.3511953624,32.5133965218,51.2278010174,0.00194174757282,-2.42009100324,-2.40839974236,-4.81679948472,-3.11510835253,0
4,17.5626666667,44.2069956592,43.3511953624,27.6965970371,49.6740187833,0,45.6590502612,44.5553952336,27.6965970371,50.5415036262,0.00194174757282,-1.45205460195,-1.20419987118,1.06581410364e-14,-0.867484842871,-0.00194174757282
5,19.4126666667,45.4836813479,43.3511953624,31.9112965862,52.2033161207,0.00970873786408,46.0986416705,45.7595951048,25.8902972304,51.0553887862,0.00194174757282,-0.614960322563,-2.40839974236,6.0209993559,1.14792733447,0.00776699029126
6,21.2626666667,44.943545095,43.3511953624,30.1049967795,51.8013083195,0.00388349514563,47.0245895326,45.7595951048,28.9007969083,51.5771474934,0,-2.08104443757,-2.40839974236,1.20419987118,0.224160826006,0.00388349514563
7,23.1126666667,44.0830682939,44.5553952336,28.9007969083,50.4584258013,0.00388349514563,46.2669958272,43.3511953624,27.6965970371,50.3766083221,0,-2.18392753336,1.20419987118,1.20419987118,0.0818174791624,0.00388349514563
8,24.9626666667,41.1742825856,40.9427956201,31.3091966507,47.8937261837,0.00388349514563,45.9092432441,44.5553952336,28.2986969727,50.1497008391,0,-4.73496065852,-3.61259961354,3.01049967795,-2.2559746554,0.00388349514563
9,26.8126666667,37.4143730849,37.3301960066,31.3091966507,45.0140493909,0.00194174757282,46.2740105838,44.5553952336,27.6965970371,50.425575142,0,-8.85963749883,-7.22519922707,3.61259961354,-5.41152575118,0.00194174757282
10,28.6626666667,34.5289698984,36.1259961354,31.3091966507,43.2609162717,0.00388349514563,47.0666780718,46.963794976,26.4923971659,50.533926348,0,-12.5377081733,-10.8377988406,4.81679948472,-7.27301007633,0.00388349514563
11,30.5126666667,31.0052238676,32.5133965218,30.7070967151,40.6044832442,0.00388349514563,46.6481309321,44.5553952336,27.0944971015,50.3382228371,0,-15.6429070644,-12.0419987118,3.61259961354,-9.73373959297,0.00388349514563
12,32.3626666667,29.3099910393,30.1049967795,33.717596393,39.465498961,0.00776699029126,45.4649753305,45.7595951048,28.9007969083,49.56091878,0,-16.1549842912,-15.6545983253,4.81679948472,-10.0954198191,0.00776699029126
13,34.2126666667,27.7316708198,28.9007969083,28.9007969083,37.2311414348,0.00582524271845,41.9669500736,40.9427956201,26.4923971659,46.0522942337,0,-14.2352792539,-12.0419987118,2.40839974236,-8.8211527989,0.00582524271845
14,36.0626666667,25.59450833,25.2881972948,32.5133965218,36.0131160266,0.00388349514563,41.3870635337,40.9427956201,27.0944971015,45.6467892259,0,-15.7925552038,-15.6545983253,5.41889942031,-9.63367319939,0.00388349514563
15,37.9126666667,22.3770733343,21.6755976812,32.5133965218,33.617403741,0.00776699029126,35.6302866738,34.9217962642,25.8902972304,40.6105158219,0.00194174757282,-13.2532133395,-13.246198583,6.62309929148,-6.99311208091,0.00582524271845
16,39.7626666667,21.5072435245,22.8797975524,34.3196963286,32.4374011138,0.0116504854369,34.6435442551,36.1259961354,30.1049967795,41.0504200828,0.00194174757282,-13.1363007306,-13.246198583,4.21469954913,-8.61301896902,0.00970873786408
17,41.6126666667,20.1300129922,21.6755976812,33.1154964574,31.8110907397,0.00776699029126,33.4019323491,32.5133965218,29.5028968439,40.1880453089,0.00582524271845,-13.2719193569,-10.8377988406,3.61259961354,-8.37695456922,0.00194174757282
18,43.4626666667,20.695870019,21.6755976812,35.5238961998,31.6771528184,0.00970873786408,32.027040069,31.3091966507,30.7070967151,39.5403417597,0.0116504854369,-11.33117005,-9.63359896943,4.81679948472,-7.86318894133,-0.00194174757282
19,45.3126666667,21.1424761849,24.0839974236,32.5133965218,31.3970277103,0.0135922330097,30.8883112588,28.9007969083,30.1049967795,38.3797609664,0.00194174757282,-9.74583507393,-4.81679948472,2.40839974236,-6.98273325609,0.0116504854369
20,47.1626666667,20.9413864976,24.0839974236,34.9217962642,31.5732053733,0.00970873786408,31.0847244417,28.9007969083,29.5028968439,38.1601387013,0.00776699029126,-10.143337944,-4.81679948472,5.41889942031,-6.58693332802,0.00194174757282
21,49.0126666667,21.0840198804,21.6755976812,31.3091966507,31.3456431779,0.00776699029126,30.4183225712,30.1049967795,30.1049967795,38.1872458039,0.00776699029126,-9.33430269077,-8.42939909825,1.20419987118,-6.84160262593,0
22,50.8626666667,20.9133274715,21.6755976812,30.1049967795,31.569102791,0.00776699029126,31.1221364765,30.1049967795,30.1049967795,39.2401499646,0.00388349514563,-10.208809005,-8.42939909825,-7.1054273576e-15,-7.67104717361,0.00388349514563
23,52.7126666667,19.744201383,20.47139781,34.9217962642,31.8755962119,0.00776699029126,31.4378005204,31.3091966507,30.1049967795,39.2767644085,0.00194174757282,-11.6935991374,-10.8377988406,4.81679948472,-7.40116819659,0.00582524271845
24,54.5626666667,16.6951205441,20.47139781,38.5343958777,30.4988477604,0.00776699029126,31.3325791724,30.1049967795,30.1049967795,39.3240866702,0.00582524271845,-14.6374586283,-9.63359896943,8.42939909825,-8.82523890977,0.00194174757282
25,56.4126666667,15.0372997506,19.2671979389,36.1259961354,30.6462533426,0.0116504854369,28.8259728386,27.6965970371,32.5133965218,37.2917458988,0.0116504854369,-13.788673088,-8.42939909825,3.61259961354,-6.64549255617,0
26,58.2626666667,12.6008409821,18.0629980677,38.5343958777,30.2534371863,0.0135922330097,24.7971643376,24.0839974236,27.6965970371,34.1524215682,0.00582524271845,-12.1963233555,-6.0209993559,10.8377988406,-3.89898438196,0.00776699029126
27,60.1126666667,9.70140828257,16.8587981965,38.5343958777,29.3061257198,0.00194174757282,20.1323512444,20.47139781,31.9112965862,31.8392699285,0.0116504854369,-10.4309429618,-3.61259961354,6.62309929148,-2.53314420874,-0.00970873786408
