axis,relative_path,requested_label,realizations,realization_paths,pitch_mm,gates,duration_s,profiles,profiles_window,gates_in_support,depth_min_mm,depth_max_mm,support_min_mm,support_max_mm,mean_mm_s,robust_spread_mm_s,rms_mm_s,zero_fraction,time_iqr_median_mm_s,gradient_median_abs_mm_s_per_mm,gradient_max_abs_mm_s_per_mm,gradient_max_depth_mm,correlation_length_mm,correlation_lag_max_mm,correlation_reaches_floor,correlation_length_over_pitch
res,res/0-2.BDD,0-2,1,res/0-2.BDD,0.246666666667,365,12.2105,540,493,352,10.1626666667,99.9493333333,10.1626666667,96.7426666667,24.8513820075,34.4644201468,38.3648687468,0.00898948921261,26.4923971659,1.55467940169,11.3382669741,75.8993333333,10.1133333333,43.1666666667,true,41
res,res/0-4.BDD,0-4,1,res/0-4.BDD,0.37,240,11.2732,501,495,235,10.1626666667,98.5926666667,10.1626666667,96.7426666667,27.1287467923,32.5365074285,39.5498680114,0.00879432624113,26.4923971659,1.21636350624,11.7625638522,75.8376666667,10.36,43.29,true,28
res,res/0-6.BDD,0-6,1,res/0-6.BDD,0.616666666667,145,12.289,548,497,141,10.1626666667,98.9626666667,10.1626666667,96.7426666667,25.6882397195,31.4933398905,39.0969664395,0.00966080168957,27.6965970371,1.32803161605,10.2784932177,75.8376666667,9.86666666667,43.1666666667,true,16
res,res/0-8.BDD,0-8,1,res/0-8.BDD,0.74,120,11.5137,514,498,118,10.1626666667,98.2226666667,10.1626666667,96.7426666667,25.0949564537,29.0501128562,37.5054458763,0.00944455789259,26.341872182,1.36261626582,11.2865145855,75.6526666667,10.36,42.92,true,14
res,res/1-0.BDD,1-0,1,res/1-0.BDD,0.986666666667,90,11.2316,502,498,88,10.1626666667,97.976,10.1626666667,96.7426666667,26.5094061044,31.9167372483,38.9062849372,0.00837440671778,30.1049967795,1.18126086354,12.7463438823,75.776,9.86666666667,42.4266666667,true,10
res,res/1-2.BDD,1-2,1,res/1-2.BDD,1.23333333333,74,11.6522,521,499,71,10.1626666667,100.196,10.1626666667,96.7426666667,27.2798226766,31.4853621629,41.4939179418,0.00894747240961,29.5028968439,1.14269521438,9.03981488087,76.146,12.3333333333,43.1666666667,true,10
res,res/1-4.BDD,1-4,1,res/1-4.BDD,1.35666666667,65,12.6316,565,499,64,10.1626666667,96.9893333333,10.1626666667,96.7426666667,28.00560311,38.2966930975,41.4048898045,0.0094877254509,27.6965970371,1.66316940449,9.31730624675,75.961,18.9933333333,42.0566666667,true,14
res,res/1-6.BDD,1-6,1,res/1-6.BDD,1.60333333333,55,12.3581,553,499,55,10.1626666667,96.7426666667,10.1626666667,96.7426666667,22.8154302283,27.7086631681,37.2854537398,0.0105665877209,27.6965970371,1.49986272541,6.03557403801,86.321,9.62,43.29,true,6
res,res/1-8.BDD,1-8,2,prf/600.BDD;res/1-8.BDD,1.85,50,13.25445,593,499,47,10.1626666667,100.812666667,10.1626666667,96.7426666667,20.6476916854,26.9961581341,36.3479057315,0.00920990918006,30.1049967795,1.02529502112,5.61107701444,43.4626666667,12.95,42.55,true,7
res,res/2-0.BDD,2-0,1,res/2-0.BDD,1.97333333333,45,11.7048,524,499,44,10.1626666667,96.9893333333,10.1626666667,96.7426666667,23.1264950848,29.3749958556,35.7957098197,0.0103388595373,28.5997469405,1.11897059199,7.73129189351,76.2693333333,11.84,41.44,true,6
res,res/2-2.BDD,2-2,1,res/2-2.BDD,2.22,40,11.5011,515,499,40,10.1626666667,96.7426666667,10.1626666667,96.7426666667,24.8824736408,36.1513350104,39.1794008047,0.00951903807615,28.2986969727,1.3555374166,6.12002859299,75.6526666667,13.32,42.18,true,6
res,res/2-5.BDD,2-5,1,res/2-5.BDD,2.46666666667,37,11.5911,519,499,36,10.1626666667,98.9626666667,10.1626666667,96.7426666667,24.452818827,39.509942567,38.8466199591,0.0109107103095,30.1049967795,0.911808167637,5.19202354683,75.5293333333,14.8,41.9333333333,true,6
res,res/3-0.BDD,3-0,1,res/3-0.BDD,2.96,31,11.5441,517,499,30,10.1626666667,98.9626666667,10.1626666667,96.7426666667,24.2419832985,32.6557768673,38.7532922676,0.0108884435538,27.9976470049,1.21068949297,6.1080711659,76.7626666667,11.84,41.44,true,4
