job,step,burst_length,emissions_per_profile,statistic,quantity,begin,mid,end,value,unit
burst-4,1,4,20,mean,drift_mid_minus_begin,29.66612223,28.4322116706,20.020189657,-1.23391055944,mm/s
burst-4,1,4,20,mean,drift_end_minus_mid,29.66612223,28.4322116706,20.020189657,-8.41202201361,mm/s
burst-4,1,4,20,mean,drift_end_minus_begin,29.66612223,28.4322116706,20.020189657,-9.64593257305,mm/s
burst-4,1,4,20,mean,anchor_range,29.66612223,28.4322116706,20.020189657,9.64593257305,mm/s
burst-4,1,4,20,median,drift_mid_minus_begin,29.1096887227,28.1143806659,19.9184488896,-0.995308056791,mm/s
burst-4,1,4,20,median,drift_end_minus_mid,29.1096887227,28.1143806659,19.9184488896,-8.19593177629,mm/s
burst-4,1,4,20,median,drift_end_minus_begin,29.1096887227,28.1143806659,19.9184488896,-9.19123983308,mm/s
burst-4,1,4,20,median,anchor_range,29.1096887227,28.1143806659,19.9184488896,9.19123983308,mm/s
burst-4,1,4,20,iqr,drift_mid_minus_begin,28.5321642947,26.7565838724,24.3666157607,-1.7755804223,mm/s
burst-4,1,4,20,iqr,drift_end_minus_mid,28.5321642947,26.7565838724,24.3666157607,-2.38996811168,mm/s
burst-4,1,4,20,iqr,drift_end_minus_begin,28.5321642947,26.7565838724,24.3666157607,-4.16554853398,mm/s
burst-4,1,4,20,iqr,anchor_range,28.5321642947,26.7565838724,24.3666157607,4.16554853398,mm/s
burst-4,1,4,20,rms,drift_mid_minus_begin,41.4238896255,39.5278425868,31.7980453279,-1.89604703873,mm/s
burst-4,1,4,20,rms,drift_end_minus_mid,41.4238896255,39.5278425868,31.7980453279,-7.72979725889,mm/s
burst-4,1,4,20,rms,drift_end_minus_begin,41.4238896255,39.5278425868,31.7980453279,-9.62584429761,mm/s
burst-4,1,4,20,rms,anchor_range,41.4238896255,39.5278425868,31.7980453279,9.62584429761,mm/s
burst-4,1,4,20,zero_fraction,drift_mid_minus_begin,0.00989948218093,0.00898568382577,0.0123362777947,-0.000913798355163,dimensionless
burst-4,1,4,20,zero_fraction,drift_end_minus_mid,0.00989948218093,0.00898568382577,0.0123362777947,0.00335059396893,dimensionless
burst-4,1,4,20,zero_fraction,drift_end_minus_begin,0.00989948218093,0.00898568382577,0.0123362777947,0.00243679561377,dimensionless
burst-4,1,4,20,zero_fraction,anchor_range,0.00989948218093,0.00898568382577,0.0123362777947,0.00335059396893,dimensionless
burst-18,3,18,20,mean,drift_mid_minus_begin,27.635479217,35.126057246,23.1459558014,7.49057802902,mm/s
burst-18,3,18,20,mean,drift_end_minus_mid,27.635479217,35.126057246,23.1459558014,-11.9801014446,mm/s
burst-18,3,18,20,mean,drift_end_minus_begin,27.635479217,35.126057246,23.1459558014,-4.48952341555,mm/s
burst-18,3,18,20,mean,anchor_range,27.635479217,35.126057246,23.1459558014,11.9801014446,mm/s
burst-18,3,18,20,median,drift_mid_minus_begin,27.5982950068,35.0569615559,22.7446322607,7.45866654904,mm/s
burst-18,3,18,20,median,drift_end_minus_mid,27.5982950068,35.0569615559,22.7446322607,-12.3123292951,mm/s
burst-18,3,18,20,median,drift_end_minus_begin,27.5982950068,35.0569615559,22.7446322607,-4.85366274608,mm/s
burst-18,3,18,20,median,anchor_range,27.5982950068,35.0569615559,22.7446322607,12.3123292951,mm/s
burst-18,3,18,20,iqr,drift_mid_minus_begin,27.6597337758,27.7396041754,26.3265124898,0.079870399619,mm/s
burst-18,3,18,20,iqr,drift_end_minus_mid,27.6597337758,27.7396041754,26.3265124898,-1.41309168557,mm/s
burst-18,3,18,20,iqr,drift_end_minus_begin,27.6597337758,27.7396041754,26.3265124898,-1.33322128595,mm/s
