relative_path,order,step,job,kind,requested_label,identity,point_key,job_started_at,job_finished_at,recording_stamp,declared_burst_length,declared_emissions_per_profile,declared_prf_us,declared_resolution_mm,declared_accepted_resolution_mm,declared_gates,declared_first_gate_mm,declared_depth_mm,is_control,quantity,unit,profiles,gates,duration_s,depth_min_mm,depth_max_mm,resolution_mm,prf_period_us,prf_hz,burst_length,emissions_per_profile,emit_freq_khz,emit_power,sensitivity,sampling_volume_index,sound_speed_ms,doppler_angle_deg,velo_max_ms,tgc_mode,tgc_start_db,tgc_end_db,skipped_profiles,op_word_14,op_word_27,op_word_84,requested_duration_s,median_interval_s,interval_iqr_s,achieved_period_s,retained_fraction,usable_interval_s,meets_usable_interval,period_expectation_s,period_residual_s,timestamps_monotone,nan_count,zero_fraction,non_zero_fraction,velocity_min_mm_s,velocity_max_mm_s,supported_gates,window_revolutions,window_s,window_profiles,supported_mean_mm_s,supported_median_mm_s,supported_iqr_mm_s,supported_rms_mm_s,supported_zero_fraction,source_sha256,file_size_bytes,log_relative_path,log_status,log_target_s,log_achieved_period_s,log_median_interval_s,manifest_relative_path,job_definition,job_definition_fingerprint,plan,plan_fingerprint,decode_error
sparse2-burst-4-ctrl-begin-20260921T123240.BDD,1,1,burst-4,scientific,ctrl-begin,sparse2-burst-4-ctrl-begin,1,2026-09-21T12:32:32.705552+03:00,2026-09-21T12:34:05.912041+03:00,20260921T123240,4,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,11.52,true,0.0226,-0.000206607142857,true,0,0.0106595365419,0.989340463458,-97.5401895655,143.29978467,49,103,12.36,552,29.6000413322,29.0605377075,28.7717754935,41.3147211201,0.0100561963916,8cc9f9337a07f201350eea34c5da1f0de894cad04abe8e64dd3fdc96d0d8902b,70096,sparse-mixer-live-1-burst-4.jsonl,ok,0.013,0.0223933928571,0.0224,sparse-mixer-live-1-burst-4.manifest.json,jobs/burst-4.json,f4493225adbb74d49d92182ab9bdef59ad15642e4c322f7600cec6514e4fbc69,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-4-cc1-20260921T123240.BDD,2,1,burst-4,scientific,cc1,sparse2-burst-4-cc1,2,2026-09-21T12:32:32.705552+03:00,2026-09-21T12:34:05.912041+03:00,20260921T123240,4,20,600,0.617,0.616666666667,145,10,99.465,false,axial_velocity,mm/s,559,145,12.5383,10.138,98.938,0.616666666667,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0225,9.99999999998e-05,0.0224700716846,1.04485833333,11.52,true,0.0226,-0.000129928315412,true,0,0.00963543273086,0.990364567269,-91.5191902096,184.24258029,145,103,12.36,551,30.1688429608,30.4704091542,28.5187748802,41.3265524309,0.00956255084799,580ef6ce9ff3093a2f448b02fae7f0b36460da7ae047881f83dd739c0f0332fa,123253,sparse-mixer-live-1-burst-4.jsonl,ok,0.013,0.0224700716846,0.0225,sparse-mixer-live-1-burst-4.manifest.json,jobs/burst-4.json,f4493225adbb74d49d92182ab9bdef59ad15642e4c322f7600cec6514e4fbc69,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-4-ctrl-mid-20260921T123240.BDD,3,1,burst-4,scientific,ctrl-mid,sparse2-burst-4-ctrl-mid,3,2026-09-21T12:32:32.705552+03:00,2026-09-21T12:34:05.912041+03:00,20260921T123240,4,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,560,50,12.5178,10.138,100.788,1.85,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223932021467,1.04315,11.52,true,0.0226,-0.000206797853309,true,0,0.00967857142857,0.990321428571,-80.681391369,140.891384928,49,103,12.36,552,28.8641562512,28.569027556,27.180511378,39.9456849583,0.00879917184265,de9528583437ef0958ce44b4f79903044761db225f046949758abe4897bbc40e,70027,sparse-mixer-live-1-burst-4.jsonl,ok,0.013,0.0223932021467,0.0224,sparse-mixer-live-1-burst-4.manifest.json,jobs/burst-4.json,f4493225adbb74d49d92182ab9bdef59ad15642e4c322f7600cec6514e4fbc69,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-4-cc3-20260921T123240.BDD,4,1,burst-4,scientific,cc3,sparse2-burst-4-cc3,4,2026-09-21T12:32:32.705552+03:00,2026-09-21T12:34:05.912041+03:00,20260921T123240,4,20,600,2.96,2.96,31,10,101.76,false,axial_velocity,mm/s,562,31,12.5532,10.138,98.938,2.96,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223764705882,1.0461,11.52,true,0.0226,-0.000223529411765,true,0,0.0119963264838,0.988003673516,-110.786388148,136.074585443,31,103,12.36,553,23.8433400848,23.5013200666,26.803158423,34.8150270314,0.0118415679869,31bc8205a51e9373903aaa5731d401b712c6017a94f41b40ca72b1b61a3f293b,59449,sparse-mixer-live-1-burst-4.jsonl,ok,0.013,0.0223764705882,0.0224,sparse-mixer-live-1-burst-4.manifest.json,jobs/burst-4.json,f4493225adbb74d49d92182ab9bdef59ad15642e4c322f7600cec6514e4fbc69,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-4-ctrl-end-20260921T123240.BDD,5,1,burst-4,scientific,ctrl-end,sparse2-burst-4-ctrl-end,5,2026-09-21T12:32:32.705552+03:00,2026-09-21T12:34:05.912041+03:00,20260921T123240,4,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,561,50,12.5401,10.138,100.788,1.85,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223930357143,1.04500833333,11.52,true,0.0226,-0.000206964285714,true,0,0.0135828877005,0.986417112299,-73.4561921419,162.566982609,49,103,12.36,552,19.8559861412,19.7341325828,24.3543280069,31.5960584915,0.0124223602484,b01562e6e603939cd42891a4df25009cc4a5b6a16d29158746bec801f8ed64b0,70096,sparse-mixer-live-1-burst-4.jsonl,ok,0.013,0.0223930357143,0.0224,sparse-mixer-live-1-burst-4.manifest.json,jobs/burst-4.json,f4493225adbb74d49d92182ab9bdef59ad15642e4c322f7600cec6514e4fbc69,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-common-reference-1-cr1-20260921T123513.BDD,6,2,common-reference-1,common-reference,cr1,sparse2-common-reference-1-cr1,1,2026-09-21T12:35:05.416491+03:00,2026-09-21T12:35:34.336627+03:00,20260921T123513,10,20,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,10,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,11.52,true,0.0226,-0.000206607142857,true,0,0.00959001782531,0.990409982175,-107.173788535,151.729183769,49,103,12.36,552,27.5150410228,27.069921594,26.5661236887,39.2765417981,0.00968648328897,efd04b1ffaeba70d7240c10295f8f2ab9c28e70d812dd8a9a002bf7e2a358580,70096,sparse-mixer-live-1-common-reference-1.jsonl,ok,0.013,0.0223933928571,0.0224,sparse-mixer-live-1-common-reference-1.manifest.json,jobs/common-reference-1.json,5c401ecf9e2761176e852a6b8c34d4c5b193408042add474e267873eb6ae4eb6,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-18-ctrl-begin-20260921T123620.BDD,7,3,burst-18,scientific,ctrl-begin,sparse2-burst-18-ctrl-begin,1,2026-09-21T12:36:12.343364+03:00,2026-09-21T12:37:45.601258+03:00,20260921T123620,18,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,562,50,12.5627,10.138,100.788,1.85,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223934046346,1.04689166667,11.52,true,0.0226,-0.000206595365419,true,0,0.0112455516014,0.988754448399,-91.5191902096,151.729183769,49,103,12.36,552,27.3966155697,27.4877052227,27.8563378364,38.520053545,0.0109804791482,afab68cb9731541829356660f81f17488161918a30078a1c6692c079b6efe5e9,70165,sparse-mixer-live-1-burst-18.jsonl,ok,0.013,0.0223934046346,0.0224,sparse-mixer-live-1-burst-18.manifest.json,jobs/burst-18.json,e70327cc0f448663f7cf91e8e0779fcc02a28e9c67635a25ed6329e8b03a320a,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-18-cc2-20260921T123620.BDD,8,3,burst-18,scientific,cc2,sparse2-burst-18-cc2,2,2026-09-21T12:36:12.343364+03:00,2026-09-21T12:37:45.601258+03:00,20260921T123620,18,20,600,0.617,0.616666666667,145,10,99.465,false,axial_velocity,mm/s,559,145,12.5382,10.138,98.938,0.616666666667,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0225,9.99999999998e-05,0.0224698924731,1.04485,11.52,true,0.0226,-0.000130107526882,true,0,0.0126333970761,0.987366602924,-83.0897911114,143.29978467,145,103,12.36,551,25.9261767947,25.4293793486,28.992150002,38.7419956374,0.0126666249452,d5f55311b98a6515c54e0fbc96e9ca37ff1a4e7d3c2063ec151f5ca8683a12cb,123253,sparse-mixer-live-1-burst-18.jsonl,ok,0.013,0.0224698924731,0.0225,sparse-mixer-live-1-burst-18.manifest.json,jobs/burst-18.json,e70327cc0f448663f7cf91e8e0779fcc02a28e9c67635a25ed6329e8b03a320a,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-18-ctrl-mid-20260921T123620.BDD,9,3,burst-18,scientific,ctrl-mid,sparse2-burst-18-ctrl-mid,3,2026-09-21T12:36:12.343364+03:00,2026-09-21T12:37:45.601258+03:00,20260921T123620,18,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,11.52,true,0.0226,-0.000206607142857,true,0,0.0100178253119,0.989982174688,-74.6603920131,148.116584155,49,103,12.36,552,35.3697650273,35.339579893,27.6781654064,46.1787042372,0.0100561963916,fb110e85c33fa59bad26b681ed21aaf1d094ba941c470371ce6c986e4e5fc081,70096,sparse-mixer-live-1-burst-18.jsonl,ok,0.013,0.0223933928571,0.0224,sparse-mixer-live-1-burst-18.manifest.json,jobs/burst-18.json,e70327cc0f448663f7cf91e8e0779fcc02a28e9c67635a25ed6329e8b03a320a,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
sparse2-burst-18-cc4-20260921T123620.BDD,10,3,burst-18,scientific,cc4,sparse2-burst-18-cc4,4,2026-09-21T12:36:12.343364+03:00,2026-09-21T12:37:45.601258+03:00,20260921T123620,18,20,600,2.96,2.96,31,10,101.76,false,axial_velocity,mm/s,562,31,12.5532,10.138,98.938,2.96,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223764705882,1.0461,11.52,true,0.0226,-0.000223529411765,true,0,0.0128573068534,0.987142693147,-75.8645918843,148.116584155,31,103,12.36,553,27.3660268572,26.5700874802,25.1716618234,38.1326304379,0.0128332263898,3ded837989756c223be0b5894d389fd7003a7ca4a647bc9bd301c47f1c7e5e76,59449,sparse-mixer-live-1-burst-18.jsonl,ok,0.013,0.0223764705882,0.0224,sparse-mixer-live-1-burst-18.manifest.json,jobs/burst-18.json,e70327cc0f448663f7cf91e8e0779fcc02a28e9c67635a25ed6329e8b03a320a,sparse-mixer-live-1,655298032dab02efe516e2e9d0294fc28330243f4aeb5f1e733fc5a50fd5ce86,
