knot,depth_mm,cc1_native_mm,cc1_offset_mm,cc1_mm_s,cc2_native_mm,cc2_offset_mm,cc2_mm_s,cc3_native_mm,cc3_offset_mm,cc3_mm_s,cc4_native_mm,cc4_offset_mm,cc4_mm_s,interaction_mm_s
0,10.138,10.138,0,42.1109820372,10.138,0,38.7842392155,10.138,0,43.2973763738,10.138,0,44.806550514,-4.83591696192
1,13.098,13.2213333333,0.123333333333,44.7242082997,13.2213333333,0.123333333333,45.7663476274,13.098,0,49.0963724015,13.098,0,50.8140951228,-0.675583393504
2,16.058,16.3046666667,0.246666666667,47.2136383137,16.3046666667,0.246666666667,48.7036949768,16.058,0,49.8184438326,16.058,0,51.3455576357,-0.0370571400862
3,19.018,18.7713333333,-0.246666666667,48.0689578484,18.7713333333,-0.246666666667,50.585397953,19.018,0,46.9279156502,19.018,0,51.9420514267,-2.49769567182
4,21.978,21.8546666667,-0.123333333333,47.2879160628,21.8546666667,-0.123333333333,51.3529346934,21.978,0,46.80233801,21.978,0,50.1929342953,0.674422345229
5,24.938,24.938,0,47.6300438767,24.938,0,48.0914662572,24.938,0,47.0714329533,24.938,0,46.9974318439,0.535423489947
6,27.898,28.0213333333,0.123333333333,46.9773000213,28.0213333333,0.123333333333,44.2987993732,27.898,0,45.5353493187,27.898,0,44.4926064135,-1.63575774283
7,30.858,31.1046666667,0.246666666667,44.8435028664,31.1046666667,0.246666666667,40.6546879874,30.858,0,42.425060266,30.858,0,43.454348424,-5.21810303705
8,33.818,33.5713333333,-0.246666666667,43.454734043,33.5713333333,-0.246666666667,38.4938807419,33.818,0,41.2410425156,33.818,0,42.0685094661,-5.78832025167
9,36.778,36.6546666667,-0.123333333333,39.8061209753,36.6546666667,-0.123333333333,36.7697366273,36.778,0,38.14420821,36.778,0,41.265709552,-6.15788569013
10,39.738,39.738,0,38.8382593966,39.738,0,35.6713262775,39.738,0,33.1255875178,39.738,0,39.4246516484,-9.46599724978
11,42.698,42.8213333333,0.123333333333,36.2813041561,42.8213333333,0.123333333333,34.2532965226,42.698,0,27.2929546222,42.698,0,36.9736452067,-11.708698218
12,45.658,45.9046666667,0.246666666667,34.415357066,45.9046666667,0.246666666667,34.4333637931,45.658,0,24.1714532801,45.658,0,33.15473947,-8.96527946279
13,48.618,48.3713333333,-0.246666666667,32.9995781521,48.3713333333,-0.246666666667,34.341079317,48.618,0,30.2754235769,48.618,0,36.437697778,-4.82077303622
14,51.578,51.4546666667,-0.123333333333,30.6497002726,51.4546666667,-0.123333333333,32.9883239477,51.578,0,30.8293106685,51.578,0,37.7562630001,-4.58832865655
15,54.538,54.538,0,28.2210429623,54.538,0,31.4059828085,54.538,0,33.6929293565,54.538,0,33.8812958168,2.99657338591
16,57.498,57.6213333333,0.123333333333,21.3919917303,57.6213333333,0.123333333333,26.0107172175,57.498,0,30.6768235339,57.498,0,27.1898015606,8.10574746055
17,60.458,60.7046666667,0.246666666667,16.3005896581,60.7046666667,0.246666666667,19.1951710307,60.458,0,23.7588410338,60.458,0,19.0407096949,7.61271271144
18,63.418,63.1713333333,-0.246666666667,14.3536122963,63.1713333333,-0.246666666667,14.3175988422,63.418,0,15.1590151381,63.418,0,11.7818736,3.34112808408
19,66.378,66.2546666667,-0.123333333333,12.5371837055,66.2546666667,-0.123333333333,8.60496468695,66.378,0,8.6491599686,66.378,0,6.81931435429,-2.10237340429
20,69.338,69.338,0,11.094394701,69.338,0,8.35962303095,69.338,0,7.2408964321,69.338,0,4.8863156784,-0.380190916359
21,72.298,72.4213333333,0.123333333333,9.44227749457,72.4213333333,0.123333333333,7.80141449254,72.298,0,9.50129395565,72.298,0,4.9491044985,2.91132645512
22,75.258,75.5046666667,0.246666666667,13.2777103553,75.5046666667,0.246666666667,12.6744849993,75.258,0,19.6416884016,75.258,0,10.9813161437,8.05714690187
23,78.218,77.9713333333,-0.246666666667,12.2693336407,77.9713333333,-0.246666666667,17.3562340311,78.218,0,25.4586240922,78.218,0,19.924238092,10.6212863905
24,81.178,81.0546666667,-0.123333333333,8.50142600644,81.0546666667,-0.123333333333,15.5960764624,81.178,0,28.261696418,81.178,0,21.7899630321,13.5663838419
25,84.138,84.138,0,0.722519922707,84.138,0,9.53681281156,84.138,0,22.4783975953,84.138,0,15.7869033391,15.5057871451
26,87.098,87.2213333333,0.123333333333,-8.91783156937,87.2213333333,0.123333333333,-4.9473482558,87.098,0,6.40221719221,87.098,0,1.93972604948,8.4329744563
27,90.058,90.3046666667,0.246666666667,-17.0456179896,90.3046666667,0.246666666667,-18.4096275633,90.058,0,-8.27018459015,90.058,0,-14.4033068391,4.76911267522
28,93.018,92.7713333333,-0.246666666667,-21.9749595184,92.7713333333,-0.246666666667,-25.1463943193,93.018,0,-15.6366586624,93.018,0,-23.965147157,5.15705369361
29,95.978,95.8546666667,-0.123333333333,-21.0881282114,95.8546666667,-0.123333333333,-25.3872342935,95.978,0,-17.1391054291,95.978,0,-27.1853166449,5.74710513364
30,98.938,98.938,0,-15.2336910806,98.938,0,-20.2170527905,98.938,0,-11.4365350894,98.938,0,-20.8458882728,4.42599147348
