relative_path,order,step,job,kind,requested_label,identity,point_key,job_started_at,job_finished_at,recording_stamp,declared_burst_length,declared_emissions_per_profile,declared_prf_us,declared_resolution_mm,declared_accepted_resolution_mm,declared_gates,declared_first_gate_mm,declared_depth_mm,is_control,quantity,unit,profiles,gates,duration_s,depth_min_mm,depth_max_mm,resolution_mm,prf_period_us,prf_hz,burst_length,emissions_per_profile,emit_freq_khz,emit_power,sensitivity,sampling_volume_index,sound_speed_ms,doppler_angle_deg,velo_max_ms,tgc_mode,tgc_start_db,tgc_end_db,skipped_profiles,op_word_14,op_word_27,op_word_84,requested_duration_s,median_interval_s,interval_iqr_s,achieved_period_s,retained_fraction,usable_interval_s,designed_window_s,retains_designed_window,period_expectation_s,period_residual_s,timestamps_monotone,nan_count,zero_fraction,non_zero_fraction,velocity_min_mm_s,velocity_max_mm_s,supported_gates,window_revolutions,window_s,window_profiles,supported_mean_mm_s,supported_median_mm_s,supported_iqr_mm_s,supported_rms_mm_s,supported_zero_fraction,source_sha256,file_size_bytes,log_relative_path,log_status,log_target_s,log_achieved_period_s,log_median_interval_s,manifest_relative_path,job_definition,job_definition_fingerprint,plan,plan_fingerprint,decode_error
sparse3-burst-4-ctrl-begin-20260924T171726.BDD,1,1,burst-4,scientific,ctrl-begin,sparse3-burst-4-ctrl-begin,1,2026-09-24T17:17:18.553765+03:00,2026-09-24T17:18:51.507133+03:00,20260924T171726,4,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,,12,true,0.0226,-0.000206607142857,true,0,0.0111586452763,0.988841354724,-113.194787891,187.855179904,49,100,12,536,21.3344749641,21.110361007,30.9897150522,36.7643050043,0.00951873286628,6706c5c38e220f4c9abb67e21bb14db839eaa9265be130c0cd3111203892334b,70096,sparse-mixer-live-2-burst-4.jsonl,ok,0.0226,0.0223933928571,0.0224,sparse-mixer-live-2-burst-4.manifest.json,jobs/burst-4.json,8b463894e96226a5b38e2cdd01db3046377a3e1b66462be1cdb9b46356c70eaf,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-4-cc1-20260924T171726.BDD,2,1,burst-4,scientific,cc1,sparse3-burst-4-cc1,2,2026-09-24T17:17:18.553765+03:00,2026-09-24T17:18:51.507133+03:00,20260924T171726,4,20,600,0.617,0.616666666667,145,10,99.465,false,axial_velocity,mm/s,558,145,12.516,10.138,98.938,0.616666666667,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0225,9.99999999998e-05,0.0224703770197,1.043,,12,true,0.0226,-0.000129622980251,true,0,0.00825608701026,0.99174391299,-115.603187633,190.263579646,145,100,12,535,22.4511132644,23.8680719294,33.4601467654,39.1563381624,0.00809539155656,a7a749df1b92f2a8e8be8572fcc93b587c8c17070d943df6ab0bb71399f2c812,123089,sparse-mixer-live-2-burst-4.jsonl,ok,0.0226,0.0224703770197,0.0225,sparse-mixer-live-2-burst-4.manifest.json,jobs/burst-4.json,8b463894e96226a5b38e2cdd01db3046377a3e1b66462be1cdb9b46356c70eaf,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-4-ctrl-mid-20260924T171726.BDD,3,1,burst-4,scientific,ctrl-mid,sparse3-burst-4-ctrl-mid,3,2026-09-24T17:17:18.553765+03:00,2026-09-24T17:18:51.507133+03:00,20260924T171726,4,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,563,50,12.585,10.138,100.788,1.85,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223932384342,1.04875,,12,true,0.0226,-0.000206761565836,true,0,0.0120781527531,0.987921847247,-115.603187633,191.467779517,49,100,12,536,15.9823787426,17.2888695791,30.0988529026,33.8227360191,0.0100137069753,1274a63162b3513e2de796a466c3b412b2f1d4decc51f4f877318fccf3e11912,70234,sparse-mixer-live-2-burst-4.jsonl,ok,0.0226,0.0223932384342,0.0224,sparse-mixer-live-2-burst-4.manifest.json,jobs/burst-4.json,8b463894e96226a5b38e2cdd01db3046377a3e1b66462be1cdb9b46356c70eaf,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-4-cc3-20260924T171726.BDD,4,1,burst-4,scientific,cc3,sparse3-burst-4-cc3,4,2026-09-24T17:17:18.553765+03:00,2026-09-24T17:18:51.507133+03:00,20260924T171726,4,20,600,2.96,2.96,31,10,101.76,false,axial_velocity,mm/s,561,31,12.5309,10.138,98.938,2.96,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223766071429,1.04424166667,,12,true,0.0226,-0.000223392857143,true,0,0.00977517106549,0.990224828935,-67.435192786,150.524983897,31,100,12,537,24.9836570498,24.5889844663,25.2105069805,34.7025086441,0.00961134138283,1ff3cea0de38ef7988f3296ff8e551dcf3e4b3ef856c012fe70ec75f66c66930,59399,sparse-mixer-live-2-burst-4.jsonl,ok,0.0226,0.0223766071429,0.0224,sparse-mixer-live-2-burst-4.manifest.json,jobs/burst-4.json,8b463894e96226a5b38e2cdd01db3046377a3e1b66462be1cdb9b46356c70eaf,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-4-ctrl-end-20260924T171726.BDD,5,1,burst-4,scientific,ctrl-end,sparse3-burst-4-ctrl-end,5,2026-09-24T17:17:18.553765+03:00,2026-09-24T17:18:51.507133+03:00,20260924T171726,4,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,560,50,12.5179,10.138,100.788,1.85,600,1666.66666667,4,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933810376,1.04315833333,,12,true,0.0226,-0.000206618962433,true,0,0.0111071428571,0.988892857143,-108.377988406,191.467779517,49,100,12,536,24.1762472766,24.1454361925,25.7244125542,35.0629224692,0.00940450807189,e34abdbc6aa718bf41701a20b0f1f975bec8702e516b232e466ab41490ef75cc,70027,sparse-mixer-live-2-burst-4.jsonl,ok,0.0226,0.0223933810376,0.0224,sparse-mixer-live-2-burst-4.manifest.json,jobs/burst-4.json,8b463894e96226a5b38e2cdd01db3046377a3e1b66462be1cdb9b46356c70eaf,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-common-reference-1-cr1-20260924T172037.BDD,6,2,common-reference-1,common-reference,cr1,sparse3-common-reference-1-cr1,1,2026-09-24T17:20:29.972912+03:00,2026-09-24T17:20:58.662085+03:00,20260924T172037,10,20,600,1.85,1.85,50,10,102.5,false,axial_velocity,mm/s,560,50,12.5179,10.138,100.788,1.85,600,1666.66666667,10,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933810376,1.04315833333,,12,true,0.0226,-0.000206618962433,true,0,0.00942857142857,0.990571428571,-114.398987762,191.467779517,49,100,12,536,21.0189364508,20.9260447002,26.9716195637,34.6580152579,0.00902375875723,96f578e9272de41154cae14b3e60be281211e1b588c9bf56f5c7ac2f3e173a58,70027,sparse-mixer-live-2-common-reference-1.jsonl,ok,0.0226,0.0223933810376,0.0224,sparse-mixer-live-2-common-reference-1.manifest.json,jobs/common-reference-1.json,9f04fa288770ea8a41ce0b1efba5a86aace264f18b5d3f625ec10ea9f1a925b1,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-18-ctrl-begin-20260924T172136.BDD,7,3,burst-18,scientific,ctrl-begin,sparse3-burst-18-ctrl-begin,1,2026-09-24T17:21:28.794095+03:00,2026-09-24T17:23:01.649409+03:00,20260924T172136,18,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,560,50,12.518,10.138,100.788,1.85,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223935599284,1.04316666667,,12,true,0.0226,-0.000206440071556,true,0,0.00717857142857,0.992821428571,-77.0687917555,119.215787247,49,100,12,536,24.323195974,24.3420402531,26.6275624576,37.7855303526,0.00708193725251,090a3b0a612113f568e0696265e8f1a1b214e06eda11057b6f2bb82c53b8cf58,70027,sparse-mixer-live-2-burst-18.jsonl,ok,0.0226,0.0223935599284,0.0224,sparse-mixer-live-2-burst-18.manifest.json,jobs/burst-18.json,1ab97cc4c47a079491e00be4f67e1c8c9311c4b7dd7342b114c7177e4a66e90d,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-18-cc2-20260924T172136.BDD,8,3,burst-18,scientific,cc2,sparse3-burst-18-cc2,2,2026-09-24T17:21:28.794095+03:00,2026-09-24T17:23:01.649409+03:00,20260924T172136,18,20,600,0.617,0.616666666667,145,10,99.465,false,axial_velocity,mm/s,559,145,12.5384,10.138,98.938,0.616666666667,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0225,9.99999999998e-05,0.0224702508961,1.04486666667,,12,true,0.0226,-0.000129749103943,true,0,0.00927765097773,0.990722349022,-101.152789179,180.629980677,145,100,12,535,22.7212762622,22.506080351,25.9110592971,35.6378625544,0.00920399613277,2dd3321821c0c3510d620c685b5b383375450e8582623088d632ebe21b737d21,123253,sparse-mixer-live-2-burst-18.jsonl,ok,0.0226,0.0224702508961,0.0225,sparse-mixer-live-2-burst-18.manifest.json,jobs/burst-18.json,1ab97cc4c47a079491e00be4f67e1c8c9311c4b7dd7342b114c7177e4a66e90d,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-18-ctrl-mid-20260924T172136.BDD,9,3,burst-18,scientific,ctrl-mid,sparse3-burst-18-ctrl-mid,3,2026-09-24T17:21:28.794095+03:00,2026-09-24T17:23:01.649409+03:00,20260924T172136,18,20,600,1.85,1.85,50,10,102.5,true,axial_velocity,mm/s,561,50,12.5403,10.138,100.788,1.85,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223933928571,1.045025,,12,true,0.0226,-0.000206607142857,true,0,0.00976827094474,0.990231729055,-78.2729916266,113.194787891,49,100,12,536,22.3271695808,22.0688058024,25.6998370466,35.2354338804,0.00948065793482,18e5bd47a078f0def2dddb064d04690d88a35100088e95648936022a067e6df5,70096,sparse-mixer-live-2-burst-18.jsonl,ok,0.0226,0.0223933928571,0.0224,sparse-mixer-live-2-burst-18.manifest.json,jobs/burst-18.json,1ab97cc4c47a079491e00be4f67e1c8c9311c4b7dd7342b114c7177e4a66e90d,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
sparse3-burst-18-cc4-20260924T172136.BDD,10,3,burst-18,scientific,cc4,sparse3-burst-18-cc4,4,2026-09-24T17:21:28.794095+03:00,2026-09-24T17:23:01.649409+03:00,20260924T172136,18,20,600,2.96,2.96,31,10,101.76,false,axial_velocity,mm/s,561,31,12.5309,10.138,98.938,2.96,600,1666.66666667,18,20,4000,medium,medium,1,1480,0,154.137583511,uniform,23.0588235294,40,0,20,1,0,12,0.0224,8.881784197e-16,0.0223766071429,1.04424166667,,12,true,0.0226,-0.000223392857143,true,0,0.00920016100282,0.990799838997,-74.6603920131,180.629980677,31,100,12,537,23.9902482175,24.200532895,24.3947586807,36.4844074665,0.00937105784826,4a8b84ee651dcd5952602321032b7e9dd3d052d786fd8c50cbdb060ac15b5d90,59399,sparse-mixer-live-2-burst-18.jsonl,ok,0.0226,0.0223766071429,0.0224,sparse-mixer-live-2-burst-18.manifest.json,jobs/burst-18.json,1ab97cc4c47a079491e00be4f67e1c8c9311c4b7dd7342b114c7177e4a66e90d,sparse-mixer-live-2,f9de5b803921b62e788572ef5209a779d05638f1f7da4933384a743c02b6b7ef,
